,name,variable,relative_importance,scaled_importance,percentage,sign
100,近三年理賠次數＿強制險,THREE_INSUR_CNT_FORCE,2.378454208,0.000238958,0.000118931,-1
101,近一年理賠金額＿強制險,ONE_INSUR_AMOUNT_FORCE,2.307369709,0.000231816,0.000115376,-1
102,是否曾因擦撞申請理賠報案＿車體險＿以車輛歸戶,IS_BUMP_BODY_C,2.272138834,0.000228276,0.000113615,-1
103,近一年理賠金額＿其他＿以車輛歸戶,ONE_INSUR_AMOUNT_OTHER_C,2.193658829,0.000220392,0.00010969,-1
104,近二年理賠次數＿強制險,TWO_INSUR_CNT_FORCE,1.697281361,0.000170522,8.49E-05,-1
105,近一年理賠次數＿車體險＿以車輛歸戶,ONE_INSUR_CNT_BODY_C,1.621641517,0.000162923,8.11E-05,-1
106,近三年理賠次數＿車體險＿以車輛歸戶,THREE_INSUR_CNT_BODY_C,1.584903121,0.000159231,7.93E-05,-1
107,近二年理賠金額＿第三責任險＿以車輛歸戶,TWO_INSUR_AMOUNT_THIRD_C,1.500935197,0.000150795,7.51E-05,-1
108,近三年理賠金額＿竊盜險,THREE_INSUR_AMOUNT_BURG,1.412430048,0.000141904,7.06E-05,-1
109,投保附約＿人為暴動損害,IS_HUMAN,1.300530076,0.000130661,6.50E-05,0
110,要保人是否在特別關注名單,APC_SIP,1.258769274,0.000126466,6.29E-05,-1
111,近二年理賠次數＿車體險＿以車輛歸戶,TWO_INSUR_CNT_BODY_C,1.201524496,0.000120714,6.01E-05,-1
112,近二年理賠金額＿竊盜險,TWO_INSUR_AMOUNT_BURG,1.14420557,0.000114956,5.72E-05,-1
113,因擦撞申請理賠報案次數＿其他＿以車輛歸戶,BUMP_CNT_OTHER_C,1.011010528,0.000101574,5.06E-05,-1
114,近二年理賠金額＿其他＿以車輛歸戶,TWO_INSUR_AMOUNT_OTHER_C,0.963742316,9.68E-05,4.82E-05,-1
115,近三年理賠次數＿其他＿以車輛歸戶,THREE_INSUR_CNT_OTHER_C,0.96322298,9.68E-05,4.82E-05,-1
116,近三年理賠金額＿第三責任險＿以車輛歸戶,THREE_INSUR_AMOUNT_THIRD_C,0.835274935,8.39E-05,4.18E-05,-1
117,近一年理賠次數＿強制險,ONE_INSUR_CNT_FORCE,0.533731103,5.36E-05,2.67E-05,-1
118,近三年理賠金額＿駕駛人傷害險＿以車輛歸戶,THREE_INSUR_AMOUNT_COM_C,0.50068903,5.03E-05,2.50E-05,-1
119,是否曾因擦撞申請理賠報案＿車體險,IS_BUMP_BODY,0.377849102,3.80E-05,1.89E-05,-1
120,近三年理賠次數＿駕駛人傷害險＿以車輛歸戶,THREE_INSUR_CNT_COM_C,0.372708827,3.74E-05,1.86E-05,-1
121,被保人是否劣質客戶,INS_IS_BAD_CUSTOMER,0.350644946,3.52E-05,1.75E-05,-1
122,被保人是否道德風險,INS_IS_MORALS_RISK,0.309757888,3.11E-05,1.55E-05,-1
123,近一年理賠次數＿第三責任險＿以車輛歸戶,ONE_INSUR_CNT_THIRD_C,0.234784603,2.36E-05,1.17E-05,-1
124,近一年理賠金額＿竊盜險,ONE_INSUR_AMOUNT_BURG,0.088481829,8.89E-06,4.42E-06,-1
125,車種代號,VEHICLE_KIND_NO,0,0,0,0
126,要被保人是否同一人,IS_SAME,0,0,0,0
127,近一年停放受損次數,ONE_PARK_CNT,0,0,0,-1
128,近兩年停放受損次數,TWO_PARK_CNT,0,0,0,-1
129,近三年停放受損次數,THREE_PARK_CNT,0,0,0,-1
130,近一年停放受損次數＿車體險,ONE_PARK_CNT_BODY,0,0,0,-1
131,近兩年停放受損次數＿車體險,TWO_PARK_CNT_BODY,0,0,0,-1
132,近三年停放受損次數＿車體險,THREE_PARK_CNT_BODY,0,0,0,-1
133,近一年理賠次數＿竊盜險,ONE_INSUR_CNT_BURG,0,0,0,-1
134,近二年理賠次數＿竊盜險,TWO_INSUR_CNT_BURG,0,0,0,-1
135,近三年理賠次數＿竊盜險,THREE_INSUR_CNT_BURG,0,0,0,-1
136,是否曾因擦撞申請理賠報案＿竊盜險,IS_BUMP_BURG,0,0,0,-1
137,因擦撞申請理賠報案次數＿竊盜險,BUMP_CNT_BURG,0,0,0,-1
138,近一年理賠金額＿乘客險,ONE_INSUR_AMOUNT_CUST,0,0,0,-1
139,近一年理賠次數＿乘客險,ONE_INSUR_CNT_CUST,0,0,0,-1
140,近二年理賠金額＿乘客險,TWO_INSUR_AMOUNT_CUST,0,0,0,-1
141,近二年理賠次數＿乘客險,TWO_INSUR_CNT_CUST,0,0,0,-1
142,近三年理賠金額＿乘客險,THREE_INSUR_AMOUNT_CUST,0,0,0,-1
143,近三年理賠次數＿乘客險,THREE_INSUR_CNT_CUST,0,0,0,-1
144,是否曾因擦撞申請理賠報案＿強制險,IS_BUMP_FORCE,0,0,0,-1
145,因擦撞申請理賠報案次數＿強制險,BUMP_CNT_FORCE,0,0,0,-1
146,是否曾因擦撞申請理賠報案＿其他,IS_BUMP_OTHER,0,0,0,-1
147,近二年理賠金額＿駕駛人傷害險,TWO_INSUR_AMOUNT_COM,0,0,0,-1
148,近一年停放受損次數＿以車輛歸戶,ONE_PARK_CNT_C,0,0,0,-1
149,近兩年停放受損次數＿以車輛歸戶,TWO_PARK_CNT_C,0,0,0,-1
150,近三年停放受損次數＿以車輛歸戶,THREE_PARK_CNT_C,0,0,0,-1
151,近一年停放受損次數＿車體險＿以車輛歸戶,ONE_PARK_CNT_BODY_C,0,0,0,-1
152,近兩年停放受損次數＿車體險＿以車輛歸戶,TWO_PARK_CNT_BODY_C,0,0,0,-1
153,近三年停放受損次數＿車體險＿以車輛歸戶,THREE_PARK_CNT_BODY_C,0,0,0,-1
154,近二年理賠次數＿第三責任險＿以車輛歸戶,TWO_INSUR_CNT_THIRD_C,0,0,0,-1
155,近三年理賠次數＿第三責任險＿以車輛歸戶,THREE_INSUR_CNT_THIRD_C,0,0,0,-1
156,是否曾因擦撞申請理賠報案＿第三責任險＿以車輛歸戶,IS_BUMP_THIRD_C,0,0,0,-1
157,近一年理賠次數＿強制險＿以車輛歸戶,ONE_INSUR_CNT_FORCE_C,0,0,0,-1
158,近二年理賠次數＿強制險＿以車輛歸戶,TWO_INSUR_CNT_FORCE_C,0,0,0,-1
159,近三年理賠次數＿強制險＿以車輛歸戶,THREE_INSUR_CNT_FORCE_C,0,0,0,-1
160,是否曾因擦撞申請理賠報案＿強制險＿以車輛歸戶,IS_BUMP_FORCE_C,0,0,0,-1
161,因擦撞申請理賠報案次數＿強制險＿以車輛歸戶,BUMP_CNT_FORCE_C,0,0,0,-1
162,近一年理賠次數＿其他＿以車輛歸戶,ONE_INSUR_CNT_OTHER_C,0,0,0,-1
163,近二年理賠次數＿其他＿以車輛歸戶,TWO_INSUR_CNT_OTHER_C,0,0,0,-1
164,是否曾因擦撞申請理賠報案＿其他＿以車輛歸戶,IS_BUMP_OTHER_C,0,0,0,-1
165,近一年理賠金額＿駕駛人傷害險＿以車輛歸戶,ONE_INSUR_AMOUNT_COM_C,0,0,0,-1
166,近一年理賠次數＿駕駛人傷害險＿以車輛歸戶,ONE_INSUR_CNT_COM_C,0,0,0,-1
167,近二年理賠金額＿駕駛人傷害險＿以車輛歸戶,TWO_INSUR_AMOUNT_COM_C,0,0,0,-1
168,是否曾因擦撞申請理賠報案＿駕駛人傷害險＿以車輛歸戶,IS_BUMP_COM_C,0,0,0,-1
169,因擦撞申請理賠報案次數＿駕駛人傷害險＿以車輛歸戶,BUMP_CNT_COM_C,0,0,0,-1
170,被保人是否詐騙集團,INS_IS_FRAUD_GROUP,0,0,0,-1
